machine,benchmark,code,backend,gflops,compile_time
grace,fctn,at::einsum,eigen,409,0.0
grace,fctn,einsum_ir,blas,4091,0.00046381787
grace,fctn,einsum_ir,tblis,1322,0.00040608797
grace,fctn,einsum_ir,tpp,3092,0.00063699695
grace,fctn,opt_einsum,torch,346,0.0001520371437072
grace,fctn,tvm,ansor,2578,1530.960682630539
grace,getd,at::einsum,eigen,1647,0.0
grace,getd,einsum_ir,blas,2630,0.00054312985
grace,getd,einsum_ir,tblis,4343,0.00038822832
grace,getd,einsum_ir,tpp,4747,0.00085011567
grace,getd,opt_einsum,torch,826,0.00016535282135
grace,getd,tvm,ansor,2719,2380.7678847312927
grace,mera,at::einsum,eigen,1346,0.0
grace,mera,einsum_ir,blas,3110,0.0026470217
grace,mera,einsum_ir,tblis,1958,0.0012636474
grace,mera,einsum_ir,tpp,4025,0.0038444711
grace,mera,opt_einsum,torch,703,0.0006393194198607
grace,syn,at::einsum,eigen,778,0.0
grace,syn,einsum_ir,blas,4485,0.00061351864
grace,syn,einsum_ir,tblis,1901,0.00053884362
grace,syn,einsum_ir,tpp,4838,0.00078470113
grace,syn,opt_einsum,torch,632,0.0001657986640929
grace,syn,tvm,ansor,3172,2269.971489429474
grace,tnlm,einsum_ir,blas,2442,0.0072669125
grace,tnlm,einsum_ir,tblis,3159,0.0012569641
grace,tnlm,einsum_ir,tpp,4378,0.008790302
grace,tnlm,opt_einsum,torch,3103,0.0013738059997558
grace,trn,at::einsum,eigen,243,0.0
grace,trn,einsum_ir,blas,786,0.00062824798
grace,trn,einsum_ir,tblis,933,0.00049697687
grace,trn,einsum_ir,tpp,1963,0.00078031952
grace,trn,opt_einsum,torch,51,0.0002583026885985
grace,tt,at::einsum,eigen,1403,0.0
grace,tt,einsum_ir,blas,2879,0.0027093726
grace,tt,einsum_ir,tblis,2455,0.00054930075
grace,tt,einsum_ir,tpp,3315,0.0021570875
grace,tt,opt_einsum,torch,485,0.0001668286323546
grace,tt,tvm,ansor,2018,4014.930881738663
grace,tw,at::einsum,eigen,114,0.0
grace,tw,einsum_ir,blas,1507,0.00060023153
grace,tw,einsum_ir,tblis,173,0.0004737118299999
grace,tw,einsum_ir,tpp,1878,0.0008501470699999
grace,tw,opt_einsum,torch,57,0.0001823663711547
grace,tw,tvm,ansor,1195,2530.2924106121063
ryzen_8700g,fctn,at::einsum,eigen,90,0.0
ryzen_8700g,fctn,einsum_ir,blas,574,0.0014409445
ryzen_8700g,fctn,einsum_ir,tblis,527,0.0013996449
ryzen_8700g,fctn,einsum_ir,tpp,667,0.0015409782999999
ryzen_8700g,fctn,opt_einsum,torch,169,8.881330490112212e-05
ryzen_8700g,fctn,tvm,ansor,459,1046.915878534317
ryzen_8700g,getd,at::einsum,eigen,366,0.0
ryzen_8700g,getd,einsum_ir,blas,770,0.0017005621
ryzen_8700g,getd,einsum_ir,tblis,839,0.0014856810999999
ryzen_8700g,getd,einsum_ir,tpp,700,0.0018890953
ryzen_8700g,getd,opt_einsum,torch,445,9.630918502807256e-05
ryzen_8700g,mera,at::einsum,eigen,298,0.0
ryzen_8700g,mera,einsum_ir,blas,646,0.0025114298999999
ryzen_8700g,mera,einsum_ir,tblis,796,0.0021461266
ryzen_8700g,mera,einsum_ir,tpp,815,0.0033409673999999
ryzen_8700g,mera,opt_einsum,torch,298,0.000402910709381
ryzen_8700g,syn,at::einsum,eigen,443,0.0
ryzen_8700g,syn,einsum_ir,blas,744,0.0015646974
ryzen_8700g,syn,einsum_ir,tblis,781,0.001512697
ryzen_8700g,syn,einsum_ir,tpp,942,0.0016983171
ryzen_8700g,syn,opt_einsum,torch,492,9.92298126220506e-05
ryzen_8700g,syn,tvm,ansor,678,1516.4030547142029
ryzen_8700g,tnlm,einsum_ir,blas,328,0.0031487014
ryzen_8700g,tnlm,einsum_ir,tblis,991,0.0021080319
ryzen_8700g,tnlm,einsum_ir,tpp,900,0.0037965306
ryzen_8700g,tnlm,opt_einsum,torch,746,0.0008732938766478
ryzen_8700g,trn,at::einsum,eigen,405,0.0
ryzen_8700g,trn,einsum_ir,blas,397,0.0015199382
ryzen_8700g,trn,einsum_ir,tblis,770,0.0014625494999999
ryzen_8700g,trn,einsum_ir,tpp,374,0.0017804665
ryzen_8700g,trn,opt_einsum,torch,461,0.0001567292213439
ryzen_8700g,tt,at::einsum,eigen,162,0.0
ryzen_8700g,tt,einsum_ir,blas,570,0.001538304
ryzen_8700g,tt,einsum_ir,tblis,531,0.0014749977999999
ryzen_8700g,tt,einsum_ir,tpp,562,0.0016914336999999
ryzen_8700g,tt,opt_einsum,torch,135,0.0001036715507507
ryzen_8700g,tt,tvm,ansor,293,6928.833932161331
ryzen_8700g,tw,at::einsum,eigen,91,0.0
ryzen_8700g,tw,einsum_ir,blas,656,0.0015002155
ryzen_8700g,tw,einsum_ir,tblis,542,0.0014776056999999
ryzen_8700g,tw,einsum_ir,tpp,847,0.0016539298
ryzen_8700g,tw,opt_einsum,torch,111,0.0001051640510558
ryzen_8700g,tw,tvm,ansor,525,1230.736804485321
spr,fctn,at::einsum,eigen,238,0.0
spr,fctn,einsum_ir,blas,2157,0.013294562
spr,fctn,einsum_ir,tblis,2109,0.013019409
